# reference: https://statisticstimes.com/geography/countries-by-continents.php
# countries or areas
# no,country or area,iso-alpha3 code,m49 code,region 1,region 2,continent
124,laos,lao,418,south-eastern asia,,asia
125,latvia,lva,428,northern europe,,europe
126,lebanon,lbn,422,western asia,,asia
127,lesotho,lso,426,southern africa,sub-saharan africa,africa
128,liberia,lbr,430,western africa,sub-saharan africa,africa
129,libya,lby,434,northern africa,,africa
130,liechtenstein,lie,438,western europe,,europe
131,lithuania,ltu,440,northern europe,,europe
132,luxembourg,lux,442,western europe,,europe
133,madagascar,mdg,450,eastern africa,sub-saharan africa,africa
134,malawi,mwi,454,eastern africa,sub-saharan africa,africa
135,malaysia,mys,458,south-eastern asia,,asia
136,maldives,mdv,462,southern asia,,asia
137,mali,mli,466,western africa,sub-saharan africa,africa
138,malta,mlt,470,southern europe,,europe
139,marshall islands,mhl,584,micronesia,,oceania
140,martinique,mtq,474,caribbean,latin america and the caribbean,north america
141,mauritania,mrt,478,western africa,sub-saharan africa,africa
142,mauritius,mus,480,eastern africa,sub-saharan africa,africa
143,mayotte,myt,175,eastern africa,sub-saharan africa,africa
144,mexico,mex,484,central america,latin america and the caribbean,north america
145,micronesia,fsm,583,micronesia,,oceania
146,monaco,mco,492,western europe,,europe
147,mongolia,mng,496,eastern asia,,asia
148,montenegro,mne,499,southern europe,,europe
149,montserrat,msr,500,caribbean,latin america and the caribbean,north america
150,morocco,mar,504,northern africa,,africa
151,mozambique,moz,508,eastern africa,sub-saharan africa,africa
152,myanmar,mmr,104,south-eastern asia,,asia
153,namibia,nam,516,southern africa,sub-saharan africa,africa
154,nauru,nru,520,micronesia,,oceania
155,nepal,npl,524,southern asia,,asia
156,netherlands,nld,528,western europe,,europe
157,new caledonia,ncl,540,melanesia,,oceania
158,new zealand,nzl,554,australia and new zealand,,oceania
159,nicaragua,nic,558,central america,latin america and the caribbean,north america
160,niger,ner,562,western africa,sub-saharan africa,africa
161,nigeria,nga,566,western africa,sub-saharan africa,africa
162,niue,niu,570,polynesia,,oceania
163,norfolk island,nfk,574,australia and new zealand,,oceania
164,north macedonia,mkd,807,southern europe,,europe
165,northern mariana islands,mnp,580,micronesia,,oceania
166,norway,nor,578,northern europe,,europe
167,oman,omn,512,western asia,,asia
168,pakistan,pak,586,southern asia,,asia
169,palau,plw,585,micronesia,,oceania
170,panama,pan,591,central america,latin america and the caribbean,north america
171,papua new guinea,png,598,melanesia,,oceania
172,paraguay,pry,600,south america,latin america and the caribbean,south america
173,peru,per,604,south america,latin america and the caribbean,south america
174,philippines,phl,608,south-eastern asia,,asia
175,pitcairn,pcn,612,polynesia,,oceania
176,poland,pol,616,eastern europe,,europe
177,portugal,prt,620,southern europe,,europe
178,puerto rico,pri,630,caribbean,latin america and the caribbean,north america
179,qatar,qat,634,western asia,,asia
180,south korea,kor,410,eastern asia,,asia
181,moldova,mda,498,eastern europe,,europe
182,reunion,reu,638,eastern africa,sub-saharan africa,africa
183,romania,rou,642,eastern europe,,europe
184,russian federation,rus,643,eastern europe,,europe
185,rwanda,rwa,646,eastern africa,sub-saharan africa,africa
186,saint barthelemy,blm,652,caribbean,latin america and the caribbean,north america
187,saint helena,shn,654,western africa,sub-saharan africa,africa
